time, m1, m2
1, 0.000, 0.000
2, 0.000, 0.000
3, 0.000, 0.000
4, 0.000, 0.000
5, 0.000, 0.000
6, 0.000, 0.000
7, 0.000, 0.000
8, 0.000, 0.000
9, 0.000, 0.000
10, 0.000, 0.000
11, 0.000, 0.000
12, 0.000, 0.000
13, 0.000, 0.000
14, 0.000, 0.000
15, 0.000, 0.000
16, 0.000, 0.000
17, 0.000, 0.000
18, 0.000, 0.000
19, 0.000, 0.000
20, 0.000, 0.000
21, 0.000, 0.000
22, 0.000, 0.000
23, 0.000, 0.000
24, 0.000, 0.000
25, 0.000, 0.000
26, 0.000, 0.000
27, 0.970, 0.010
28, 0.970, 0.010
29, 0.960, 0.020
30, 0.960, 0.020
31, 0.950, 0.030
32, 0.950, 0.030
33, 0.950, 0.030
34, 0.940, 0.040
35, 0.940, 0.040
36, 0.940, 0.040
37, 0.930, 0.050
38, 0.930, 0.050
39, 0.930, 0.050
40, 0.930, 0.050
41, 0.920, 0.060
42, 0.920, 0.060
43, 0.920, 0.060
44, 0.920, 0.060
45, 0.920, 0.060
46, 0.920, 0.060
47, 0.910, 0.070
48, 0.910, 0.070
49, 0.910, 0.070
50, 0.910, 0.070
51, 0.910, 0.070
52, 0.910, 0.070
53, 0.910, 0.070
54, 0.910, 0.070
55, 0.900, 0.080
56, 0.900, 0.080
57, 0.900, 0.080
58, 0.900, 0.080
59, 0.900, 0.080
60, 0.900, 0.080
61, 0.900, 0.080
62, 0.900, 0.080
63, 0.900, 0.080
64, 0.900, 0.080
65, 0.900, 0.080
66, 0.900, 0.080
67, 0.890, 0.090
68, 0.890, 0.090
69, 0.890, 0.090
70, 0.890, 0.090
71, 0.890, 0.090
72, 0.890, 0.090
73, 0.890, 0.090
74, 0.890, 0.090
75, 0.890, 0.090
76, 0.890, 0.090
77, 0.890, 0.090
78, 0.890, 0.090
79, 0.890, 0.090
80, 0.890, 0.090
81, 0.890, 0.090
82, 0.890, 0.090
83, 0.880, 0.100
84, 0.880, 0.100
85, 0.880, 0.100
86, 0.880, 0.100
87, 0.880, 0.100
88, 0.880, 0.100
89, 0.880, 0.100
90, 0.880, 0.100
91, 0.880, 0.100
92, 0.880, 0.100
93, 0.880, 0.100
94, 0.880, 0.100
95, 0.880, 0.100
96, 0.880, 0.100
97, 0.880, 0.100
98, 0.880, 0.100
